team_id,sprint_id,planned_story_points,total_tasks,actual_sprint_cost,baseline_predicted_sprint_cost,residual,baseline_absolute_error,baseline_absolute_percentage_error,sprint_size_band,small_vs_large,segmented_predicted_sprint_cost,segmented_absolute_error,segmented_absolute_percentage_error,absolute_error_improvement,absolute_percentage_error_improvement,segmented_beats_baseline
T15,S1113,33.0,2,4433.0,7277.506056775283,-2844.5060567752826,2844.5060567752826,64.16661531187194,large,large,6605.35169514809,2172.3516951480897,49.00409869497157,672.1543616271929,15.16251661690037,True
T15,S1115,192.0,10,23652.1,12755.662977010876,10896.437022989123,10896.437022989123,46.069638733935356,large,large,25736.322691517402,2084.2226915174033,8.811998475896024,8812.21433147172,37.25764025803933,True
T15,S1116,18.0,8,16386.3,6612.498838960326,9773.801161039673,9773.801161039673,59.64617492075498,medium,large,7990.5278330702895,8395.77216692971,51.23653397612463,1378.0289941099636,8.409640944630347,True
T15,S1117,29.0,12,15435.3,8530.665206039428,6904.634793960571,6904.634793960571,44.73275410235351,large,large,9656.32251992289,5778.97748007711,37.44000751574061,1125.657313883461,7.2927465866129,True
T15,S1120,5.0,2,127600.0,3959.885858302745,123640.11414169725,123640.11414169725,96.89664117687873,medium,small,3581.0316078825067,124018.96839211749,97.1935488966438,-378.85425042023417,-0.29690771976507335,False
T15,S1121,21.0,16,31949.6,9248.573006607176,22701.02699339282,22701.02699339282,71.05261722648429,medium,large,9975.960093801199,21973.639906198798,68.77594682311765,727.3870871940235,2.276670403366637,True
T15,S1122,11.0,3,4990.6,22715.42302618461,-17724.82302618461,17724.82302618461,355.16416916171625,medium,small,22215.588164641933,17224.98816464193,345.148642741192,499.8348615426803,10.015526420524225,True
T15,S1123,16.0,10,233721.0,6387.90843643296,227333.09156356705,227333.09156356705,97.26686586295928,medium,large,7360.215414057221,226360.78458594278,96.85085404646685,972.3069776242774,0.41601181649242847,True
T16,S1159,2.0,5,3965.2,3657.2392999835106,307.9607000164892,307.9607000164892,7.766586805621135,small,small,3185.482313226188,779.7176867738117,19.664019135826987,-471.75698675732247,-11.897432330205852,False
T16,S1160,3.0,5,4006.5,3563.6956250472963,442.8043749527037,442.8043749527037,11.052149630667758,small,small,3158.478636141234,848.0213638587661,21.166139120398505,-405.2169889060624,-10.113989489730747,False
T16,S1161,5.0,4,7599.5,3864.9572287556316,3734.5427712443684,3734.5427712443684,49.14195369753758,medium,small,3810.471837851181,3789.028162148819,49.85891390418868,-54.48539090445047,-0.7169602066511018,False
T16,S1162,4.0,3,11470.8,2469.1132282275025,9001.686771772496,9001.686771772496,78.47479488590594,small,small,2516.0768849989768,8954.723115001023,78.06537569307305,46.963656771473325,0.4094191928328854,True
T16,S1163,0.0,1,655.8,743.6439422896477,-87.84394228964777,87.84394228964777,13.394928680946597,small,small,719.0545283891282,63.25452838912827,9.645399266411752,24.589413900519503,3.7495294145348446,True
T16,S1164,0.0,4,31092.2,2684.78841963778,28407.41158036222,28407.41158036222,91.3650741355138,small,small,2514.406956608423,28577.79304339158,91.91306193640713,-170.38146302936002,-0.5479878008933383,False
T16,S1165,9.0,6,4550.9,3904.2024746996362,646.6975253003634,646.6975253003634,14.210321591341568,medium,small,4113.146937160536,437.7530628394634,9.61904376803409,208.9444624609,4.591277823307479,True
T16,S1166,11.0,4,67233.5,6373.169088524798,60860.330911475205,60860.330911475205,90.52084290045171,medium,small,5732.816966221623,61500.683033778376,91.47327304658894,-640.3521223031712,-0.9524301461372318,False
T17,S1248,1.0,1,990.8,1410.6355393584645,-419.83553935846453,419.83553935846453,42.373389115711,small,small,1387.9560168399948,397.1560168399949,40.08437796124293,22.67952251846964,2.2890111544680707,True
T17,S1254,4.0,2,1331.6,2208.7528117664015,-877.1528117664016,877.1528117664016,65.87209460546723,small,small,2174.7574718878495,843.1574718878496,63.319125254419475,33.99533987855193,2.55296935104775,True
T17,S1259,4.5,4,3419.3,5823.062575643169,-2403.762575643169,2403.762575643169,70.29984428518027,medium,small,5469.402894873629,2050.1028948736284,59.956800949715685,353.6596807695405,10.343043335464586,True
T17,S1260,3.0,1,2098.5,737.9584509130433,1360.5415490869568,1360.5415490869568,64.8340028156758,small,small,726.5843159008818,1371.9156840991182,65.376015444323,-11.374135012161332,-0.5420126286471998,False
T17,S1261,1.5,3,1508.4,4813.19086579175,-3304.79086579175,3304.79086579175,219.09247320284737,small,small,5281.335048685299,3772.9350486852986,250.1282848505236,-468.14418289354853,-31.03581164767624,False
T17,S1262,0.0,1,6101.2,597.4108565987178,5503.789143401282,5503.789143401282,90.20830563497807,small,small,619.6758082675938,5481.524191732406,89.84337821629197,22.264951668876165,0.3649274186861078,True
T17,S1263,1.0,2,1331.6,1403.0806331025537,-71.48063310255384,71.48063310255384,5.3680259163828365,small,small,1372.7251892474123,41.125189247412436,3.0884041189105167,30.355443855141402,2.27962179747232,True
T17,S1267,14.5,6,17886.6,7611.5891197897845,10275.010880210215,10275.010880210215,57.44529916367681,medium,large,8370.258807996848,9516.34119200315,53.20374577618525,758.6696882070646,4.241553387491557,True
T17,S1269,14.5,7,7761.1,21614.78218120883,-13853.68218120883,13853.68218120883,178.50152918025574,medium,large,17025.457930728495,9264.357930728494,119.36913492582875,4589.324250480335,59.132394254427,True
T17,S1271,3.0,1,1371.8,737.6447411770904,634.1552588229096,634.1552588229096,46.22796754795959,small,small,723.8333607259043,647.9666392740957,47.23477469558942,-13.811380451186096,-1.0068071476298357,False
T17,S1272,1.0,1,174917.0,1244.717828842933,173672.28217115707,173672.28217115707,99.28839516522527,small,small,1247.0639491958527,173669.93605080416,99.28705388887539,2.3461203529150225,0.0013412763498763525,True
T19,S1321,0.0,10,12462.5,13366.659571224402,-904.1595712244016,904.1595712244016,7.255041694879852,small,small,14692.202501347749,2229.7025013477487,17.891293892459366,-1325.542930123347,-10.636252197579514,False
T19,S1330,23.0,47,14731.0,22212.91601068149,-7481.916010681489,7481.916010681489,50.790279075972364,medium,large,22058.115866190594,7327.115866190594,49.739432938636845,154.80014449089504,1.050846137335519,True
T19,S1334,17.0,26,10696.5,22456.7444893249,-11760.244489324901,11760.244489324901,109.94479025218438,medium,large,20904.169522080054,10207.669522080054,95.42999599943957,1552.5749672448474,14.514794252744807,True
T19,S1335,23.0,37,26807.1,21506.17254613584,5300.927453864158,5300.927453864158,19.774341326977403,medium,large,21213.524316255443,5593.575683744555,20.866023119787503,-292.6482298803967,-1.0916817928100997,False
T19,S1350,21.0,12,6755.4,8089.567415503176,-1334.167415503176,1334.167415503176,19.749643477857358,medium,large,6832.808711718074,77.4087117180743,1.1458790259359075,1256.7587037851017,18.60376445192145,True
T20,S1405,16.0,44,7415.0,25629.94602915726,-18214.94602915726,18214.94602915726,245.64998016395498,medium,large,26309.417707417353,18894.417707417353,254.81345525849432,-679.4716782600917,-9.163475094539336,False
T20,S1409,5.0,46,21848.4,23234.142538897988,-1385.7425388979864,1385.7425388979864,6.3425355582009955,medium,small,24496.39425845225,2647.994258452247,12.119854352960612,-1262.2517195542605,-5.7773187947596165,False
T20,S1410,34.0,31,10536.3,17244.585391046967,-6708.285391046968,6708.285391046968,63.6683218117078,large,large,17796.975626065083,7260.675626065084,68.9110563107076,-552.3902350181161,-5.242734498999795,False
T20,S1411,35.0,38,54816.1,35401.231976162206,19414.868023837793,19414.868023837793,35.418185576569286,large,large,28009.125239609224,26806.974760390774,48.90346952882598,-7392.106736552982,-13.485283952256694,False
T20,S1417,68.0,20,16376.6,4336.497301403488,12040.102698596513,12040.102698596513,73.5201610749271,large,large,2506.688288364656,13869.911711635345,84.6934755177225,-1829.8090130388318,-11.173314442795402,False
T20,S1420,23.0,19,9933.2,10433.837738410002,-500.6377384100015,500.6377384100015,5.040044883924631,medium,large,8432.679467762513,1500.5205322374877,15.106114164997056,-999.8827938274862,-10.066069281072425,False
T18,S1460,44.0,12,2152.7,9463.912509546293,-7311.212509546293,7311.212509546293,339.6298838456958,large,large,8359.569686389412,6206.869686389412,288.3295250796401,1104.3428231568814,51.300358766055695,True
T18,S1461,50.0,14,3500.0,30932.8153363914,-27432.8153363914,27432.8153363914,783.7947238968972,large,large,32052.44525427963,28552.44525427963,815.7841501222752,-1119.6299178882327,-31.989426225377997,False
T18,S1462,40.0,11,2794.7,10970.987447173507,-8176.287447173508,8176.287447173508,292.56404791832784,large,large,10298.735416795045,7504.035416795045,268.50951503900404,672.2520303784622,24.0545328793238,True
T18,S1463,30.0,7,27042.4,9702.130222038537,17340.269777961465,17340.269777961465,64.12252528607469,large,large,8570.785176996445,18471.614823003554,68.30612232273597,-1131.3450450420896,-4.183597036661283,False
T18,S1465,3.0,3,9491.3,4351.032917255768,5140.267082744232,5140.267082744232,54.15767158075534,small,small,4873.367170186369,4617.932829813631,48.65437642697661,522.334252930601,5.50329515377873,True
T18,S1466,18.0,6,114771.0,4325.595559270907,110445.4044407291,110445.4044407291,96.23110754522405,medium,large,4606.896275817393,110164.10372418261,95.98601016300512,281.30071654648054,0.24509738221892974,True
T18,S1467,10.0,2,94759.1,2490.6427156431027,92268.4572843569,92268.4572843569,97.37160577122081,medium,small,2632.465866166853,92126.63413383315,97.22193872022122,141.82315052374906,0.14966705099959654,True
