team_id,sprint_id,planned_story_points,total_tasks,actual_sprint_cost,initial_predicted_sprint_cost,residual,initial_absolute_error,initial_absolute_percentage_error,sprint_size_band,small_vs_large,mid_predicted_sprint_cost,mid_absolute_error,mid_absolute_percentage_error,mid_absolute_error_improvement,mid_percentage_error_improvement,mid_beats_initial
T15,S1113,33.0,2,4433.0,6727.755904800882,-2294.7559048008816,2294.7559048008816,51.76530351456985,large,large,6605.35169514809,2172.3516951480897,49.00409869497157,122.4042096527919,2.7612048195982837,True
T15,S1115,192.0,10,23652.1,26031.137077220457,-2379.0370772204587,2379.0370772204587,10.058460251818904,large,large,25736.322691517402,2084.2226915174033,8.811998475896024,294.81438570305545,1.2464617759228798,True
T15,S1116,18.0,8,16386.3,7518.024432993111,8868.275567006887,8868.275567006887,54.12006106934994,medium,large,7990.5278330702895,8395.77216692971,51.23653397612463,472.5034000771775,2.883527093225304,True
T15,S1117,29.0,12,15435.3,8847.168086192267,6588.131913807732,6588.131913807732,42.682240797443086,large,large,9656.32251992289,5778.97748007711,37.44000751574061,809.1544337306223,5.242233281702475,True
T15,S1120,5.0,2,127600.0,3722.183877093198,123877.8161229068,123877.8161229068,97.08292799600848,medium,small,3581.0316078825067,124018.96839211749,97.1935488966438,-141.15226921068097,-0.11062090063532537,False
T15,S1121,21.0,16,31949.6,9455.846546168765,22493.753453831232,22493.753453831232,70.40386563159237,medium,large,9975.960093801199,21973.639906198798,68.77594682311765,520.1135476324343,1.6279188084747176,True
T15,S1122,11.0,3,4990.6,24388.964205320437,-19398.36420532044,19398.36420532044,388.6980364148687,medium,small,22215.588164641933,17224.98816464193,345.148642741192,2173.3760406785077,43.54939367367666,True
T15,S1123,16.0,10,233721.0,7451.736330237342,226269.26366976264,226269.26366976264,96.81169585521312,medium,large,7360.215414057221,226360.78458594278,96.85085404646685,-91.52091618013219,-0.03915819125373332,False
T16,S1159,2.0,5,3965.2,4128.471195309321,-163.27119530932123,163.27119530932123,4.117603029086079,small,small,3185.482313226188,779.7176867738117,19.664019135826987,-616.4464914644905,-15.546416106740907,False
T16,S1160,3.0,5,4006.5,3968.8743259185308,37.62567408146924,37.62567408146924,0.9391157888798013,small,small,3158.478636141234,848.0213638587661,21.166139120398505,-810.3956897772969,-20.227023331518705,False
T16,S1161,5.0,4,7599.5,3911.2844117612913,3688.2155882387087,3688.2155882387087,48.532345394285265,medium,small,3810.471837851181,3789.028162148819,49.85891390418868,-100.81257391011013,-1.3265685099034172,False
T16,S1162,4.0,3,11470.8,2771.2226760243907,8699.577323975609,8699.577323975609,75.84106883543963,small,small,2516.0768849989768,8954.723115001023,78.06537569307305,-255.14579102541393,-2.2243068576334224,False
T16,S1163,0.0,1,655.8,717.7655129200899,-61.965512920089964,61.965512920089964,9.4488430802211,small,small,719.0545283891282,63.25452838912827,9.645399266411752,-1.2890154690383042,-0.1965561861906533,False
T16,S1164,0.0,4,31092.2,2983.2495914003766,28108.950408599623,28108.950408599623,90.40515115881031,small,small,2514.406956608423,28577.79304339158,91.91306193640713,-468.8426347919558,-1.5079107775968197,False
T16,S1165,9.0,6,4550.9,4287.495095812472,263.4049041875278,263.4049041875278,5.787973899394137,medium,small,4113.146937160536,437.7530628394634,9.61904376803409,-174.3481586519356,-3.8310698686399522,False
T16,S1166,11.0,4,67233.5,4848.025959355987,62385.47404064401,62385.47404064401,92.78927029032255,medium,small,5732.816966221623,61500.683033778376,91.47327304658894,884.7910068656347,1.3159972437336052,True
T17,S1248,1.0,1,990.8,1644.6291428067038,-653.8291428067039,653.8291428067039,65.9900224875559,small,small,1387.9560168399948,397.1560168399949,40.08437796124293,256.673125966709,25.905644526312976,True
T17,S1254,4.0,2,1331.6,2653.1695449765575,-1321.5695449765576,1321.5695449765576,99.24673663086195,small,small,2174.7574718878495,843.1574718878496,63.319125254419475,478.412073088708,35.92761137644247,True
T17,S1259,4.5,4,3419.3,6475.925626481006,-3056.6256264810054,3056.6256264810054,89.39331519553726,medium,small,5469.402894873629,2050.1028948736284,59.956800949715685,1006.522731607377,29.43651424582157,True
T17,S1260,3.0,1,2098.5,756.3560631858777,1342.1439368141223,1342.1439368141223,63.957299824356554,small,small,726.5843159008818,1371.9156840991182,65.376015444323,-29.771747284995854,-1.4187156199664486,False
T17,S1261,1.5,3,1508.4,5525.7976896402315,-4017.3976896402314,4017.3976896402314,266.3350364386258,small,small,5281.335048685299,3772.9350486852986,250.1282848505236,244.4626409549328,16.206751588102208,True
T17,S1262,0.0,1,6101.2,664.5402673177883,5436.659732682211,5436.659732682211,89.10803993775342,small,small,619.6758082675938,5481.524191732406,89.84337821629197,-44.864459050194455,-0.7353382785385492,False
T17,S1263,1.0,2,1331.6,1316.7875290398847,14.812470960115206,14.812470960115206,1.1123814178518479,small,small,1372.7251892474123,41.125189247412436,3.0884041189105167,-26.31271828729723,-1.9760227010586688,False
T17,S1267,14.5,6,17886.6,6664.265161020457,11222.334838979543,11222.334838979543,62.74157659353675,medium,large,8370.258807996848,9516.34119200315,53.20374577618525,1705.9936469763925,9.537830817351498,True
T17,S1269,14.5,7,7761.1,18897.605424554415,-11136.505424554414,11136.505424554414,143.49132757668906,medium,large,17025.457930728495,9264.357930728494,119.36913492582875,1872.1474938259198,24.122192650860313,True
T17,S1271,3.0,1,1371.8,759.2862436986427,612.5137563013573,612.5137563013573,44.6503685888145,small,small,723.8333607259043,647.9666392740957,47.23477469558942,-35.452882972738394,-2.584406106774921,False
T17,S1272,1.0,1,174917.0,1411.2178313846255,173505.78216861538,173505.78216861538,99.1932071603191,small,small,1247.0639491958527,173669.93605080416,99.28705388887539,-164.1538821887807,-0.09384672855628651,False
T19,S1321,0.0,10,12462.5,14224.499204459602,-1761.999204459602,1761.999204459602,14.138408862263606,small,small,14692.202501347749,2229.7025013477487,17.891293892459366,-467.7032968881467,-3.7528850301957597,False
T19,S1330,23.0,47,14731.0,22210.491610517085,-7479.491610517085,7479.491610517085,50.773821264795906,medium,large,22058.115866190594,7327.115866190594,49.739432938636845,152.37574432649126,1.0343883261590605,True
T19,S1334,17.0,26,10696.5,23219.257802357195,-12522.757802357195,12522.757802357195,117.07341469038653,medium,large,20904.169522080054,10207.669522080054,95.42999599943957,2315.088280277141,21.64341869094696,True
T19,S1335,23.0,37,26807.1,20886.40858230969,5920.691417690308,5920.691417690308,22.086280939341847,medium,large,21213.524316255443,5593.575683744555,20.866023119787503,327.11573394575316,1.2202578195543445,True
T19,S1350,21.0,12,6755.4,6183.444920959571,571.9550790404282,571.9550790404282,8.466635270160587,medium,large,6832.808711718074,77.4087117180743,1.1458790259359075,494.54636732235394,7.32075624422468,True
T20,S1405,16.0,44,7415.0,26483.723860939357,-19068.723860939357,19068.723860939357,257.16417883937095,medium,large,26309.417707417353,18894.417707417353,254.81345525849432,174.30615352200402,2.3507235808766325,True
T20,S1409,5.0,46,21848.4,25335.064554392568,-3486.664554392566,3486.664554392566,15.958443430148506,medium,small,24496.39425845225,2647.994258452247,12.119854352960612,838.6702959403192,3.838589077187894,True
T20,S1410,34.0,31,10536.3,17591.73702015347,-7055.437020153469,7055.437020153469,66.96313715586562,large,large,17796.975626065083,7260.675626065084,68.9110563107076,-205.2386059116143,-1.9479191548419692,False
T20,S1411,35.0,38,54816.1,28417.19170657775,26398.90829342225,26398.90829342225,48.15904140101585,large,large,28009.125239609224,26806.974760390774,48.90346952882598,-408.06646696852476,-0.7444281278101315,False
T20,S1417,68.0,20,16376.6,2295.888273844903,14080.711726155097,14080.711726155097,85.98067807820364,large,large,2506.688288364656,13869.911711635345,84.6934755177225,210.80001451975295,1.2872025604811341,True
T20,S1420,23.0,19,9933.2,7207.569619634817,2725.6303803651836,2725.6303803651836,27.439600333882165,medium,large,8432.679467762513,1500.5205322374877,15.106114164997056,1225.1098481276958,12.33348616888511,True
T18,S1460,44.0,12,2152.7,10865.658012661876,-8712.958012661875,8712.958012661875,404.7455759121975,large,large,8359.569686389412,6206.869686389412,288.3295250796401,2506.088326272463,116.4160508325574,True
T18,S1461,50.0,14,3500.0,29796.020267244407,-26296.020267244407,26296.020267244407,751.3148647784117,large,large,32052.44525427963,28552.44525427963,815.7841501222752,-2256.424987035225,-64.46928534386348,False
T18,S1462,40.0,11,2794.7,7878.6843299653065,-5083.984329965307,5083.984329965307,181.91520842900158,large,large,10298.735416795045,7504.035416795045,268.50951503900404,-2420.051086829739,-86.59430661000246,False
T18,S1463,30.0,7,27042.4,8475.11529119563,18567.28470880437,18567.28470880437,68.65989967164295,large,large,8570.785176996445,18471.614823003554,68.30612232273597,95.6698858008167,0.35377734890697354,True
T18,S1465,3.0,3,9491.3,4467.111350062918,5024.188649937081,5024.188649937081,52.93467333175731,small,small,4873.367170186369,4617.932829813631,48.65437642697661,406.2558201234506,4.280296904780698,True
T18,S1466,18.0,6,114771.0,4734.812801547351,110036.18719845265,110036.18719845265,95.87455646326394,medium,large,4606.896275817393,110164.10372418261,95.98601016300512,-127.916525729961,-0.11145369974117614,False
T18,S1467,10.0,2,94759.1,3282.751067136734,91476.34893286327,91476.34893286327,96.5356877944844,medium,small,2632.465866166853,92126.63413383315,97.22193872022122,-650.2852009698836,-0.6862509257368146,False
T18,S1468,13.0,3,18564.8,3156.576634271681,15408.223365728318,15408.223365728318,82.99698012221148,medium,large,3211.420424999281,15353.37957500072,82.70156196135008,54.84379072759839,0.29541816086140216,True
T18,S1469,13.0,2,80888.9,2905.723116357619,77983.17688364237,77983.17688364237,96.40776037706333,medium,large,2738.1177966469795,78150.78220335301,96.61496472736434,-167.60531971063756,-0.20720435030101214,False
T14,S1484,3.0,9,168993.0,12604.300250476053,156388.69974952395,156388.69974952395,92.54152524040875,small,small,13014.971076240809,155978.02892375918,92.29851468626462,410.6708257647697,0.24301055414412076,True
